product_category_name,qty,freight_price,unit_price,product_score,customers,weekend,holiday,month,volume,comp_1,ps1,fp1,comp_2,ps2,fp2,comp_3,ps3,fp3,lag_price
0,4,14.2875,45.95,4.0,90,8,1,8,3800,89.9,3.9,14.65675676,199.5098039,4.4,19.41288462,45.95,4.0,14.2875,45.95
8,2,11.22,239.9,4.1,43,9,2,10,2992,134.9,4.2,6.81,239.9,4.1,11.22,232.49,3.8,14.2125,239.85
5,15,17.87866667,59.9,4.3,74,10,1,7,32560,59.9,4.1,16.62642857,59.9,4.2,16.11157895,59.9,4.1,15.39230769,59.9
1,3,14.59666667,132.97,4.2,202,8,2,2,7650,149.0,4.2,41.16322581,149.9,4.3,26.55289855,78.7122807,3.5,14.53591549,133.0
4,4,15.0,35.0,3.8,92,9,1,4,14000,69.9,4.1,9.071566265,35.0,3.7,13.46941176,99.9,4.4,23.32769231,35.48571429
3,9,22.67444444,129.99,4.3,42,8,4,11,15750,99.99,4.2,16.1875,129.99,4.3,22.67444444,129.99,4.3,22.67444444,119.99
5,34,19.71176471,59.9,4.3,115,9,1,9,32560,59.9,4.1,17.18702703,59.9,4.2,16.81176471,59.9,4.1,16.29461538,59.9
1,11,14.41454545,79.8,3.5,78,8,3,5,2210,119.0,4.2,39.2172,149.9,4.3,18.94307692,79.8,3.5,14.41454545,80.66666667
5,14,33.00214286,120.0,4.1,160,8,2,2,8000,50.54516129,4.1,16.61153846,50.9,4.2,17.51944444,50.35714286,4.1,18.281875,123.3316667
5,91,17.06747253,52.40694444,4.1,339,8,4,11,19800,52.40694444,4.1,17.06747253,53.64828125,4.2,16.07586207,53.78571429,4.1,18.27550725,59.9
3,1,57.23,65.0,4.4,1,8,1,8,7776,65.0,4.4,57.23,65.0,4.4,57.23,65.0,4.4,57.23,64.95
8,45,17.95355556,169.3493182,3.7,122,9,1,7,3042,118.3636364,4.2,15.48,105.0,4.2,24.93875,155.0,3.8,16.47,245.9
1,29,14.84655172,97.6425,3.5,152,8,2,1,2210,156.5113514,4.2,36.8072093,150.3545455,4.3,22.54772727,97.6425,3.5,14.84655172,109.9
5,27,38.4162963,89.99,4.3,184,10,1,12,8000,55.1,4.1,15.75960784,55.425,4.2,19.184375,55.75,4.1,17.26727273,89.99
1,30,14.096,84.75608696,4.0,202,8,2,2,2808,149.0,4.2,41.16322581,149.9,4.3,26.55289855,78.7122807,3.5,14.53591549,90.534
6,8,22.90125,349.9,4.3,9,9,1,1,11400,349.9,4.3,22.90125,349.9,4.3,22.90125,64.99,3.9,11.06,349.85
1,3,13.41333333,78.9,3.5,43,9,1,7,2926,119.99,4.2,48.62666667,149.9,4.3,33.57153846,77.9,3.5,14.63857143,89.9
6,14,19.575,58.99,3.9,126,8,2,2,3960,23.99,4.3,12.55,89.99,4.1,16.30764706,58.99,3.9,19.575,58.99
5,14,38.53785714,187.8542857,4.2,137,8,2,1,8000,49.9,4.1,19.495,49.9,4.2,15.84103448,49.9,4.1,16.50512821,183.99
0,14,21.57214286,89.9,3.9,50,9,2,10,20000,89.9,3.9,21.57214286,89.9,3.9,21.57214286,45.95,4.0,15.1,89.9
1,3,33.4,159.99,4.2,3,8,1,3,8000,159.99,4.2,33.4,159.99,4.2,33.4,159.99,4.2,33.4,159.99
6,21,13.96428571,89.99,4.1,89,9,1,9,3960,23.99,4.3,16.12,89.99,4.1,13.96428571,58.99,3.9,15.6392,89.99
5,2,47.745,99.99,4.1,46,8,1,8,8000,49.91,4.1,20.32833333,49.9,4.2,36.442,49.9,4.1,32.32,99.99
5,1,79.76,101.0,4.1,111,9,1,4,19656,53.9,4.1,5.28173913,53.9,4.2,19.46846154,53.9,4.1,19.07142857,101.0
1,4,18.27,146.6,4.2,17,10,1,7,7650,139.99,4.2,48.10833333,146.6,4.2,18.27,146.6,4.2,18.27,149.8525
3,7,21.97142857,85.70428571,4.2,7,8,2,2,15750,85.70428571,4.2,21.97142857,85.70428571,4.2,21.97142857,85.70428571,4.2,21.97142857,85.65428571
5,1,35.86,49.9,4.3,137,8,2,1,32560,49.9,4.1,19.495,49.9,4.2,15.84103448,49.9,4.1,16.50512821,49.9
4,3,20.64666667,99.9,4.4,40,10,1,12,12000,75.0,4.1,17.44638298,99.9,4.4,20.64666667,99.9,4.4,20.64666667,99.9
1,45,11.51311111,77.155,3.5,202,8,2,2,2926,149.0,4.2,41.16322581,149.9,4.3,26.55289855,78.7122807,3.5,14.53591549,93.09489362
6,2,24.505,349.9,4.3,53,8,1,6,11400,19.99,4.3,12.68333333,89.99,4.1,14.16333333,58.79952381,3.9,13.90333333,349.9
2,1,11.85,19.9,3.9,13,10,1,7,2304,19.9,4.2,13.47307692,19.9,3.9,11.85,19.9,3.9,11.85,19.85
8,30,16.259,145.1666667,4.1,260,8,3,5,2992,103.7925234,4.2,0.095438596,105.0,4.2,11.3772973,132.53125,3.8,15.7621875,150.3423077
8,3,19.17,152.6333333,4.1,93,9,0,6,2992,119.0,4.2,19.20666667,105.0,4.2,23.82357143,138.22,3.8,16.108,145.1666667
7,4,15.175,117.7,4.4,18,9,1,3,4693,50.49,4.3,15.19642857,117.7,4.4,15.175,117.7,4.4,15.175,117.8888889
5,6,20.99,49.9,4.2,54,9,1,7,32560,49.91,4.1,28.37333333,49.9,4.2,33.28142857,49.9,4.1,20.99,49.9
1,51,28.47588235,149.9,4.3,127,9,1,3,4840,136.1428571,4.2,48.0475,149.9,4.3,28.47588235,81.02391304,3.5,18.22148148,149.9
